"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Info"
"1","0.000000000","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-14dBm","Beacon frame, SN=3743, FN=0, Flags=........C, BI=100, SSID=z5206677"
"3","0.102428332","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-14dBm","Beacon frame, SN=3744, FN=0, Flags=........C, BI=100, SSID=z5206677"
"4","0.205329917","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-14dBm","Beacon frame, SN=3745, FN=0, Flags=........C, BI=100, SSID=z5206677"
"5","0.307179852","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-14dBm","Beacon frame, SN=3746, FN=0, Flags=........C, BI=100, SSID=z5206677"
"6","0.410995612","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-14dBm","Beacon frame, SN=3747, FN=0, Flags=........C, BI=100, SSID=z5206677"
"7","0.615447738","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-14dBm","Beacon frame, SN=3749, FN=0, Flags=........C, BI=100, SSID=z5206677"
"8","0.716750625","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-14dBm","Beacon frame, SN=3750, FN=0, Flags=........C, BI=100, SSID=z5206677"
"9","0.819177905","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-14dBm","Beacon frame, SN=3751, FN=0, Flags=........C, BI=100, SSID=z5206677"
"11","0.923109238","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-14dBm","Beacon frame, SN=3752, FN=0, Flags=........C, BI=100, SSID=z5206677"
"12","1.024789657","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-10dBm","Beacon frame, SN=3753, FN=0, Flags=........C, BI=100, SSID=z5206677"
"14","1.126781274","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-14dBm","Beacon frame, SN=3754, FN=0, Flags=........C, BI=100, SSID=z5206677"
"15","1.228747080","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-14dBm","Beacon frame, SN=3755, FN=0, Flags=........C, BI=100, SSID=z5206677"
"16","1.331179169","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-14dBm","Beacon frame, SN=3756, FN=0, Flags=........C, BI=100, SSID=z5206677"
"17","1.537131571","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-14dBm","Beacon frame, SN=3758, FN=0, Flags=........C, BI=100, SSID=z5206677"
"18","1.640664027","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-14dBm","Beacon frame, SN=3759, FN=0, Flags=........C, BI=100, SSID=z5206677"
"19","1.740714341","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-6dBm","Beacon frame, SN=3760, FN=0, Flags=........C, BI=100, SSID=z5206677"
"20","1.945669811","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-6dBm","Beacon frame, SN=3762, FN=0, Flags=........C, BI=100, SSID=z5206677"
"21","2.049113119","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-6dBm","Beacon frame, SN=3763, FN=0, Flags=........C, BI=100, SSID=z5206677"
"22","2.151532256","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-6dBm","Beacon frame, SN=3764, FN=0, Flags=........C, BI=100, SSID=z5206677"
"23","2.253378114","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-6dBm","Beacon frame, SN=3765, FN=0, Flags=........C, BI=100, SSID=z5206677"
"24","2.355256434","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-6dBm","Beacon frame, SN=3766, FN=0, Flags=........C, BI=100, SSID=z5206677"
