"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Info"
"1","0.000000000","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-56dBm","Beacon frame, SN=941, FN=0, Flags=........C, BI=100, SSID=z5206677"
"2","0.102653062","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-56dBm","Beacon frame, SN=942, FN=0, Flags=........C, BI=100, SSID=z5206677"
"3","0.307482745","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-50dBm","Beacon frame, SN=944, FN=0, Flags=........C, BI=100, SSID=z5206677"
"4","0.410658720","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-52dBm","Beacon frame, SN=945, FN=0, Flags=........C, BI=100, SSID=z5206677"
"5","0.512082144","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-52dBm","Beacon frame, SN=946, FN=0, Flags=........C, BI=100, SSID=z5206677"
"6","0.614279579","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-52dBm","Beacon frame, SN=947, FN=0, Flags=........C, BI=100, SSID=z5206677"
"7","0.717469389","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-56dBm","Beacon frame, SN=948, FN=0, Flags=........C, BI=100, SSID=z5206677"
"8","0.820202791","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-56dBm","Beacon frame, SN=949, FN=0, Flags=........C, BI=100, SSID=z5206677"
"9","0.922613073","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-56dBm","Beacon frame, SN=950, FN=0, Flags=........C, BI=100, SSID=z5206677"
"10","1.023971897","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-52dBm","Beacon frame, SN=951, FN=0, Flags=........C, BI=100, SSID=z5206677"
"11","1.228640422","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-52dBm","Beacon frame, SN=953, FN=0, Flags=........C, BI=100, SSID=z5206677"
"12","1.331211514","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-52dBm","Beacon frame, SN=954, FN=0, Flags=........C, BI=100, SSID=z5206677"
"13","1.435114799","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-52dBm","Beacon frame, SN=955, FN=0, Flags=........C, BI=100, SSID=z5206677"
"14","1.638399339","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-52dBm","Beacon frame, SN=957, FN=0, Flags=........C, BI=100, SSID=z5206677"
"15","1.740676479","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-50dBm","Beacon frame, SN=958, FN=0, Flags=........C, BI=100, SSID=z5206677"
"16","1.843410129","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-52dBm","Beacon frame, SN=959, FN=0, Flags=........C, BI=100, SSID=z5206677"
"17","1.946512197","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-52dBm","Beacon frame, SN=960, FN=0, Flags=........C, BI=100, SSID=z5206677"
"18","2.047977294","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-56dBm","Beacon frame, SN=961, FN=0, Flags=........C, BI=100, SSID=z5206677"
"19","2.150757863","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-56dBm","Beacon frame, SN=962, FN=0, Flags=........C, BI=100, SSID=z5206677"
