frame.number,frame.time,wlan_radio.signal_dbm
"1","Jun 24, 2020 14:17:54.346059933 AEST","-56"
"2","Jun 24, 2020 14:17:54.449071802 AEST","-64"
"3","Jun 24, 2020 14:17:54.551499902 AEST","-56"
"4","Jun 24, 2020 14:17:54.653419251 AEST","-56"
"5","Jun 24, 2020 14:17:54.755547136 AEST","-64"
"6","Jun 24, 2020 14:17:54.857553134 AEST","-64"
"7","Jun 24, 2020 14:17:54.959948400 AEST","-56"
"8","Jun 24, 2020 14:17:55.066288827 AEST","-58"
"9","Jun 24, 2020 14:17:55.165400873 AEST","-56"
"10","Jun 24, 2020 14:17:55.268307276 AEST","-56"
"11","Jun 24, 2020 14:17:55.369576183 AEST","-56"
"12","Jun 24, 2020 14:17:55.471938789 AEST","-56"
"13","Jun 24, 2020 14:17:55.574452847 AEST","-56"
"14","Jun 24, 2020 14:17:55.676694153 AEST","-56"
"15","Jun 24, 2020 14:17:55.779208502 AEST","-56"
"16","Jun 24, 2020 14:17:55.881573141 AEST","-56"
"17","Jun 24, 2020 14:17:55.914497370 AEST","-56"
"18","Jun 24, 2020 14:17:55.920252723 AEST","-56"
"19","Jun 24, 2020 14:17:55.923363875 AEST","-56"
"20","Jun 24, 2020 14:17:55.926286551 AEST","-56"
"21","Jun 24, 2020 14:17:55.929151522 AEST","-58"
"22","Jun 24, 2020 14:17:55.933170006 AEST","-56"
"23","Jun 24, 2020 14:17:55.935763678 AEST","-56"
"24","Jun 24, 2020 14:17:55.983985335 AEST","-56"
"25","Jun 24, 2020 14:17:56.087474630 AEST","-56"
"26","Jun 24, 2020 14:17:56.188757506 AEST","-56"
"27","Jun 24, 2020 14:17:56.291179080 AEST","-56"
"28","Jun 24, 2020 14:17:56.394656344 AEST","-56"
"29","Jun 24, 2020 14:17:56.495959639 AEST","-56"
"30","Jun 24, 2020 14:17:56.598479001 AEST","-56"
"31","Jun 24, 2020 14:17:56.701419478 AEST","-56"
"32","Jun 24, 2020 14:17:56.803866450 AEST","-56"
"33","Jun 24, 2020 14:17:56.906594105 AEST","-52"
"34","Jun 24, 2020 14:17:57.007947829 AEST","-56"
"35","Jun 24, 2020 14:17:57.110844139 AEST","-56"
"36","Jun 24, 2020 14:17:57.212717407 AEST","-56"
"37","Jun 24, 2020 14:17:57.417881804 AEST","-56"
"38","Jun 24, 2020 14:17:57.519936566 AEST","-52"
"39","Jun 24, 2020 14:17:57.622622955 AEST","-56"
"40","Jun 24, 2020 14:17:57.724759249 AEST","-56"
"41","Jun 24, 2020 14:17:57.827138628 AEST","-52"
"42","Jun 24, 2020 14:17:57.929559930 AEST","-56"
"43","Jun 24, 2020 14:17:58.031934012 AEST","-56"
"44","Jun 24, 2020 14:17:58.134365579 AEST","-56"
"45","Jun 24, 2020 14:17:58.236924656 AEST","-56"
"46","Jun 24, 2020 14:17:58.339342446 AEST","-56"
"47","Jun 24, 2020 14:17:58.441527744 AEST","-56"
"48","Jun 24, 2020 14:17:58.543957984 AEST","-56"
"49","Jun 24, 2020 14:17:58.646802784 AEST","-56"
"50","Jun 24, 2020 14:17:58.748898775 AEST","-56"
"51","Jun 24, 2020 14:17:58.852236784 AEST","-56"
"52","Jun 24, 2020 14:17:58.953690587 AEST","-56"
"53","Jun 24, 2020 14:17:59.055900343 AEST","-56"
"54","Jun 24, 2020 14:17:59.158466300 AEST","-56"
"55","Jun 24, 2020 14:17:59.260673314 AEST","-56"
"56","Jun 24, 2020 14:17:59.465511255 AEST","-56"
"57","Jun 24, 2020 14:17:59.567920488 AEST","-56"
"58","Jun 24, 2020 14:17:59.670683643 AEST","-56"
"59","Jun 24, 2020 14:17:59.772907772 AEST","-56"
"60","Jun 24, 2020 14:17:59.878909707 AEST","-56"
"61","Jun 24, 2020 14:17:59.977508931 AEST","-56"
"62","Jun 24, 2020 14:18:00.079931191 AEST","-52"
"63","Jun 24, 2020 14:18:00.182295324 AEST","-56"
"64","Jun 24, 2020 14:18:00.284900359 AEST","-56"
"65","Jun 24, 2020 14:18:00.387457238 AEST","-56"
"66","Jun 24, 2020 14:18:00.489481201 AEST","-56"
"67","Jun 24, 2020 14:18:00.591868491 AEST","-56"
"68","Jun 24, 2020 14:18:00.694546335 AEST","-56"
"69","Jun 24, 2020 14:18:00.796912245 AEST","-56"
"70","Jun 24, 2020 14:18:00.899385592 AEST","-56"
"71","Jun 24, 2020 14:18:01.001494043 AEST","-56"
"72","Jun 24, 2020 14:18:01.104207538 AEST","-56"
"73","Jun 24, 2020 14:18:01.206323201 AEST","-56"
"74","Jun 24, 2020 14:18:01.309293905 AEST","-56"
"75","Jun 24, 2020 14:18:01.412218507 AEST","-56"
"76","Jun 24, 2020 14:18:01.514527839 AEST","-56"
"77","Jun 24, 2020 14:18:01.616601778 AEST","-56"
