frame.number,frame.time,wlan_radio.signal_dbm
"1","Jun 24, 2020 14:12:48.070265530 AEST","-58"
"2","Jun 24, 2020 14:12:48.275375215 AEST","-64"
"3","Jun 24, 2020 14:12:48.378667812 AEST","-56"
"4","Jun 24, 2020 14:12:48.480469622 AEST","-60"
"5","Jun 24, 2020 14:12:48.582698059 AEST","-68"
"6","Jun 24, 2020 14:12:48.686020101 AEST","-64"
"7","Jun 24, 2020 14:12:48.787304843 AEST","-64"
"8","Jun 24, 2020 14:12:48.889521070 AEST","-60"
"9","Jun 24, 2020 14:12:48.992023725 AEST","-64"
"10","Jun 24, 2020 14:12:49.096519133 AEST","-58"
"11","Jun 24, 2020 14:12:49.196667500 AEST","-64"
"12","Jun 24, 2020 14:12:49.299047653 AEST","-60"
"13","Jun 24, 2020 14:12:49.401556585 AEST","-58"
"14","Jun 24, 2020 14:12:49.504191879 AEST","-60"
"15","Jun 24, 2020 14:12:49.606659975 AEST","-56"
"16","Jun 24, 2020 14:12:49.710564333 AEST","-56"
"17","Jun 24, 2020 14:12:49.811488019 AEST","-56"
"18","Jun 24, 2020 14:12:49.914755027 AEST","-56"
"19","Jun 24, 2020 14:12:50.016045994 AEST","-64"
"20","Jun 24, 2020 14:12:50.119448055 AEST","-56"
"21","Jun 24, 2020 14:12:50.180806819 AEST","-56"
"22","Jun 24, 2020 14:12:50.183685101 AEST","-56"
"23","Jun 24, 2020 14:12:50.187573519 AEST","-56"
"24","Jun 24, 2020 14:12:50.191527865 AEST","-56"
"25","Jun 24, 2020 14:12:50.200366839 AEST","-48"
"26","Jun 24, 2020 14:12:50.203220909 AEST","-48"
"27","Jun 24, 2020 14:12:50.206072711 AEST","-48"
"28","Jun 24, 2020 14:12:50.220678997 AEST","-56"
"29","Jun 24, 2020 14:12:50.323324637 AEST","-56"
"30","Jun 24, 2020 14:12:50.425529948 AEST","-56"
"31","Jun 24, 2020 14:12:50.531048784 AEST","-58"
"32","Jun 24, 2020 14:12:50.630997620 AEST","-56"
"33","Jun 24, 2020 14:12:50.732865725 AEST","-56"
"34","Jun 24, 2020 14:12:50.835341610 AEST","-56"
"35","Jun 24, 2020 14:12:50.937738317 AEST","-56"
