frame.number,frame.time,wlan_radio.signal_dbm,wlan_radio.11n.mcs_index,wlan_radio.data_rate
"86","Jul  2, 2020 22:23:38.430957000 AEST","-56","15","144.444"
"87","Jul  2, 2020 22:23:38.431663000 AEST","-57","15","144.444"
"88","Jul  2, 2020 22:23:38.431958000 AEST","-57","15","144.444"
"89","Jul  2, 2020 22:23:38.432283000 AEST","-53","13","115.556"
"90","Jul  2, 2020 22:23:38.432702000 AEST","-56","15","144.444"
"91","Jul  2, 2020 22:23:38.432939000 AEST","-56","15","144.444"
"92","Jul  2, 2020 22:23:38.506638000 AEST","-57","14","130"
"93","Jul  2, 2020 22:23:38.806988000 AEST","-57","14","130"
"94","Jul  2, 2020 22:23:38.807310000 AEST","-57","14","130"
"95","Jul  2, 2020 22:23:39.215832000 AEST","-55","14","130"
"96","Jul  2, 2020 22:23:39.380866000 AEST","-55","14","130"
"97","Jul  2, 2020 22:23:40.383980000 AEST","-57","14","130"
"98","Jul  2, 2020 22:23:40.847220000 AEST","-56","12","86.6667"
"99","Jul  2, 2020 22:23:41.385882000 AEST","-57","14","130"
"100","Jul  2, 2020 22:23:41.468153000 AEST","-58","14","130"
"101","Jul  2, 2020 22:23:41.469171000 AEST","-58","14","130"
"102","Jul  2, 2020 22:23:42.386046000 AEST","-59","14","130"
"103","Jul  2, 2020 22:23:42.866737000 AEST","-61","14","130"
"104","Jul  2, 2020 22:23:42.998072000 AEST","-59","14","130"
"105","Jul  2, 2020 22:23:43.387462000 AEST","-57","14","130"
"106","Jul  2, 2020 22:23:44.390291000 AEST","-58","14","130"
"107","Jul  2, 2020 22:23:45.395240000 AEST","-58","14","130"
"108","Jul  2, 2020 22:23:46.399306000 AEST","-57","14","130"
"109","Jul  2, 2020 22:23:46.399606000 AEST","-57","14","130"
"110","Jul  2, 2020 22:23:46.400744000 AEST","-57","14","130"
"111","Jul  2, 2020 22:23:47.407405000 AEST","-57","14","130"
"112","Jul  2, 2020 22:23:48.408760000 AEST","-61","14","130"
"113","Jul  2, 2020 22:23:48.699432000 AEST","-60","14","130"
"114","Jul  2, 2020 22:23:48.701242000 AEST","-60","14","130"
"115","Jul  2, 2020 22:23:48.728816000 AEST","-60","14","130"
"116","Jul  2, 2020 22:23:49.412260000 AEST","-58","14","130"
"117","Jul  2, 2020 22:23:50.413476000 AEST","-58","14","130"
"118","Jul  2, 2020 22:23:51.416733000 AEST","-58","14","130"
"119","Jul  2, 2020 22:23:52.421269000 AEST","-59","14","130"
"120","Jul  2, 2020 22:23:53.424962000 AEST","-59","14","130"
"121","Jul  2, 2020 22:23:54.426242000 AEST","-56","14","130"
"122","Jul  2, 2020 22:23:55.426967000 AEST","-57","14","130"
"123","Jul  2, 2020 22:23:56.431091000 AEST","-59","14","130"
"124","Jul  2, 2020 22:23:57.431313000 AEST","-56","15","144.444"
