"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Info"
"1","0.000000000","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-64dBm","Beacon frame, SN=3441, FN=0, Flags=........C, BI=100, SSID=z5206677"
"2","0.102464331","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-58dBm","Beacon frame, SN=3442, FN=0, Flags=........C, BI=100, SSID=z5206677"
"3","0.204766400","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-58dBm","Beacon frame, SN=3443, FN=0, Flags=........C, BI=100, SSID=z5206677"
"4","0.307253339","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-56dBm","Beacon frame, SN=3444, FN=0, Flags=........C, BI=100, SSID=z5206677"
"5","0.409647462","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-56dBm","Beacon frame, SN=3445, FN=0, Flags=........C, BI=100, SSID=z5206677"
"6","0.512023269","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-60dBm","Beacon frame, SN=3446, FN=0, Flags=........C, BI=100, SSID=z5206677"
"7","0.614429508","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-60dBm","Beacon frame, SN=3447, FN=0, Flags=........C, BI=100, SSID=z5206677"
"8","0.819207898","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-68dBm","Beacon frame, SN=3449, FN=0, Flags=........C, BI=100, SSID=z5206677"
"9","0.921610192","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-64dBm","Beacon frame, SN=3450, FN=0, Flags=........C, BI=100, SSID=z5206677"
"10","1.024007970","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-58dBm","Beacon frame, SN=3451, FN=0, Flags=........C, BI=100, SSID=z5206677"
"11","1.126369665","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-64dBm","Beacon frame, SN=3452, FN=0, Flags=........C, BI=100, SSID=z5206677"
"12","1.331314975","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-64dBm","Beacon frame, SN=3454, FN=0, Flags=........C, BI=100, SSID=z5206677"
"13","1.433760734","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-56dBm","Beacon frame, SN=3455, FN=0, Flags=........C, BI=100, SSID=z5206677"
"14","1.639565594","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-58dBm","Beacon frame, SN=3457, FN=0, Flags=........C, BI=100, SSID=z5206677"
"15","1.741931064","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-64dBm","Beacon frame, SN=3458, FN=0, Flags=........C, BI=100, SSID=z5206677"
"16","1.843226924","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-64dBm","Beacon frame, SN=3459, FN=0, Flags=........C, BI=100, SSID=z5206677"
"17","1.945804552","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-68dBm","Beacon frame, SN=3460, FN=0, Flags=........C, BI=100, SSID=z5206677"
"18","2.047977863","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-64dBm","Beacon frame, SN=3461, FN=0, Flags=........C, BI=100, SSID=z5206677"
"19","2.150414418","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-68dBm","Beacon frame, SN=3462, FN=0, Flags=........C, BI=100, SSID=z5206677"
"20","2.252895703","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-66dBm","Beacon frame, SN=3463, FN=0, Flags=........C, BI=100, SSID=z5206677"
"21","2.356254228","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-64dBm","Beacon frame, SN=3464, FN=0, Flags=........C, BI=100, SSID=z5206677"
"22","2.458728228","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-60dBm","Beacon frame, SN=3465, FN=0, Flags=........C, BI=100, SSID=z5206677"
"23","2.560240040","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-60dBm","Beacon frame, SN=3466, FN=0, Flags=........C, BI=100, SSID=z5206677"
"24","2.764932441","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-68dBm","Beacon frame, SN=3468, FN=0, Flags=........C, BI=100, SSID=z5206677"
"25","2.868337259","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-64dBm","Beacon frame, SN=3469, FN=0, Flags=........C, BI=100, SSID=z5206677"
"26","2.970713108","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-56dBm","Beacon frame, SN=3470, FN=0, Flags=........C, BI=100, SSID=z5206677"
"27","3.175632367","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-60dBm","Beacon frame, SN=3472, FN=0, Flags=........C, BI=100, SSID=z5206677"
"28","3.278880815","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-64dBm","Beacon frame, SN=3473, FN=0, Flags=........C, BI=100, SSID=z5206677"
"29","3.379451678","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-64dBm","Beacon frame, SN=3474, FN=0, Flags=........C, BI=100, SSID=z5206677"
"30","3.482775580","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-64dBm","Beacon frame, SN=3475, FN=0, Flags=........C, BI=100, SSID=z5206677"
"31","3.585129000","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-60dBm","Beacon frame, SN=3476, FN=0, Flags=........C, BI=100, SSID=z5206677"
"32","3.687503703","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-64dBm","Beacon frame, SN=3477, FN=0, Flags=........C, BI=100, SSID=z5206677"
"33","3.789938539","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-70dBm","Beacon frame, SN=3478, FN=0, Flags=........C, BI=100, SSID=z5206677"
"34","3.891172044","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-68dBm","Beacon frame, SN=3479, FN=0, Flags=........C, BI=100, SSID=z5206677"
"35","3.993620254","0a:c5:e1:a7:65:73","Broadcast","802.11","320","-72dBm","Beacon frame, SN=3480, FN=0, Flags=........C, BI=100, SSID=z5206677"
