frame.number,frame.time,wlan_radio.signal_dbm
"103","Jun 24, 2020 13:26:28.317282317 AEST","-72"
"104","Jun 24, 2020 13:26:28.523519526 AEST","-72"
"105","Jun 24, 2020 13:26:28.625219584 AEST","-72"
"106","Jun 24, 2020 13:26:28.726748806 AEST","-64"
"107","Jun 24, 2020 13:26:28.829582855 AEST","-64"
"108","Jun 24, 2020 13:26:28.931898319 AEST","-64"
"109","Jun 24, 2020 13:26:29.034916418 AEST","-68"
"110","Jun 24, 2020 13:26:29.238752258 AEST","-64"
"111","Jun 24, 2020 13:26:29.341570158 AEST","-72"
"112","Jun 24, 2020 13:26:29.443777910 AEST","-72"
"113","Jun 24, 2020 13:26:29.546401813 AEST","-64"
"114","Jun 24, 2020 13:26:29.648757224 AEST","-68"
"115","Jun 24, 2020 13:26:29.751162736 AEST","-64"
"116","Jun 24, 2020 13:26:29.854289567 AEST","-64"
"117","Jun 24, 2020 13:26:30.059081701 AEST","-64"
"118","Jun 24, 2020 13:26:30.263167083 AEST","-58"
"119","Jun 24, 2020 13:26:30.365544877 AEST","-72"
"120","Jun 24, 2020 13:26:30.469067972 AEST","-74"
"121","Jun 24, 2020 13:26:30.570760734 AEST","-68"
"122","Jun 24, 2020 13:26:30.664156445 AEST","-64"
"123","Jun 24, 2020 13:26:30.668315867 AEST","-64"
"124","Jun 24, 2020 13:26:30.671844837 AEST","-64"
"125","Jun 24, 2020 13:26:30.673596697 AEST","-58"
"126","Jun 24, 2020 13:26:30.676240626 AEST","-64"
"127","Jun 24, 2020 13:26:30.679112849 AEST","-58"
"128","Jun 24, 2020 13:26:30.683022971 AEST","-60"
"129","Jun 24, 2020 13:26:30.778162810 AEST","-64"
"130","Jun 24, 2020 13:26:30.887796436 AEST","-64"
"131","Jun 24, 2020 13:26:30.985044027 AEST","-60"
"132","Jun 24, 2020 13:26:31.084427627 AEST","-64"
"133","Jun 24, 2020 13:26:31.185399791 AEST","-56"
"134","Jun 24, 2020 13:26:31.291776471 AEST","-56"
"135","Jun 24, 2020 13:26:31.389570370 AEST","-68"
"136","Jun 24, 2020 13:26:31.492235282 AEST","-64"
"137","Jun 24, 2020 13:26:31.594582197 AEST","-64"
