frame.number,frame.time,wlan_radio.signal_dbm
"103","Jun 24, 2020 13:39:14.363601121 AEST","-60"
"104","Jun 24, 2020 13:39:14.466027736 AEST","-64"
"105","Jun 24, 2020 13:39:14.569422450 AEST","-60"
"106","Jun 24, 2020 13:39:14.670764958 AEST","-64"
"107","Jun 24, 2020 13:39:14.773005533 AEST","-64"
"108","Jun 24, 2020 13:39:14.875396692 AEST","-64"
"109","Jun 24, 2020 13:39:14.977805060 AEST","-72"
"110","Jun 24, 2020 13:39:15.081434335 AEST","-68"
"111","Jun 24, 2020 13:39:15.182655740 AEST","-60"
"112","Jun 24, 2020 13:39:15.285172208 AEST","-58"
"113","Jun 24, 2020 13:39:15.694634899 AEST","-64"
"114","Jun 24, 2020 13:39:15.797363655 AEST","-64"
"115","Jun 24, 2020 13:39:16.049314608 AEST","-64"
"116","Jun 24, 2020 13:39:16.059096415 AEST","-64"
"117","Jun 24, 2020 13:39:16.091843489 AEST","-64"
"118","Jun 24, 2020 13:39:16.094819011 AEST","-66"
"119","Jun 24, 2020 13:39:16.097564348 AEST","-64"
"120","Jun 24, 2020 13:39:16.101397142 AEST","-64"
"121","Jun 24, 2020 13:39:16.103207692 AEST","-64"
"122","Jun 24, 2020 13:39:16.106137960 AEST","-64"
"123","Jun 24, 2020 13:39:16.206589520 AEST","-64"
"124","Jun 24, 2020 13:39:16.309262365 AEST","-64"
"125","Jun 24, 2020 13:39:16.411597796 AEST","-64"
"126","Jun 24, 2020 13:39:16.514975622 AEST","-64"
"127","Jun 24, 2020 13:39:16.616482728 AEST","-64"
"128","Jun 24, 2020 13:39:16.718598101 AEST","-66"
"129","Jun 24, 2020 13:39:16.821286526 AEST","-64"
"130","Jun 24, 2020 13:39:16.924580112 AEST","-64"
"131","Jun 24, 2020 13:39:17.025941819 AEST","-64"
"132","Jun 24, 2020 13:39:17.128399014 AEST","-64"
"133","Jun 24, 2020 13:39:17.230650616 AEST","-64"
"134","Jun 24, 2020 13:39:17.333420247 AEST","-64"
"135","Jun 24, 2020 13:39:17.435441473 AEST","-64"
"136","Jun 24, 2020 13:39:17.641353783 AEST","-64"
"137","Jun 24, 2020 13:39:17.742577113 AEST","-64"
"138","Jun 24, 2020 13:39:17.845378822 AEST","-64"
"139","Jun 24, 2020 13:39:18.049947202 AEST","-60"
"140","Jun 24, 2020 13:39:18.153428411 AEST","-58"
"141","Jun 24, 2020 13:39:18.254613002 AEST","-58"
"142","Jun 24, 2020 13:39:18.356994264 AEST","-64"
"143","Jun 24, 2020 13:39:18.459438913 AEST","-60"
"144","Jun 24, 2020 13:39:18.561845006 AEST","-64"
"145","Jun 24, 2020 13:39:18.664308323 AEST","-64"
"146","Jun 24, 2020 13:39:19.074016142 AEST","-64"
"147","Jun 24, 2020 13:39:19.176349933 AEST","-64"
"148","Jun 24, 2020 13:39:19.278626729 AEST","-64"
"149","Jun 24, 2020 13:39:19.381418969 AEST","-64"
"150","Jun 24, 2020 13:39:19.483422203 AEST","-62"
"151","Jun 24, 2020 13:39:19.585813067 AEST","-64"
"152","Jun 24, 2020 13:39:19.689435754 AEST","-64"
"153","Jun 24, 2020 13:39:19.893421651 AEST","-60"
"154","Jun 24, 2020 13:39:20.098957894 AEST","-64"
"155","Jun 24, 2020 13:39:20.200644816 AEST","-64"
"156","Jun 24, 2020 13:39:20.304434057 AEST","-64"
"157","Jun 24, 2020 13:39:20.404982969 AEST","-64"
"158","Jun 24, 2020 13:39:20.507441754 AEST","-64"
"159","Jun 24, 2020 13:39:20.712214202 AEST","-64"
"160","Jun 24, 2020 13:39:20.814593660 AEST","-68"
"161","Jun 24, 2020 13:39:20.917436221 AEST","-64"
"162","Jun 24, 2020 13:39:21.020542613 AEST","-58"
"163","Jun 24, 2020 13:39:21.326582498 AEST","-64"
"164","Jun 24, 2020 13:39:21.429061362 AEST","-64"
"165","Jun 24, 2020 13:39:21.531471860 AEST","-64"
"166","Jun 24, 2020 13:39:21.634026435 AEST","-58"
"167","Jun 24, 2020 13:39:21.736301634 AEST","-60"
"168","Jun 24, 2020 13:39:21.838599532 AEST","-60"
"169","Jun 24, 2020 13:39:21.941117522 AEST","-58"
"170","Jun 24, 2020 13:39:22.043787782 AEST","-58"
"171","Jun 24, 2020 13:39:22.147109441 AEST","-58"
"172","Jun 24, 2020 13:39:22.248197537 AEST","-64"
"173","Jun 24, 2020 13:39:22.350547499 AEST","-64"
"174","Jun 24, 2020 13:39:22.453402826 AEST","-64"
"175","Jun 24, 2020 13:39:22.658943993 AEST","-64"
"176","Jun 24, 2020 13:39:22.862674566 AEST","-68"
"177","Jun 24, 2020 13:39:23.068564174 AEST","-58"
"178","Jun 24, 2020 13:39:23.169880455 AEST","-60"
"179","Jun 24, 2020 13:39:23.375712234 AEST","-56"
"180","Jun 24, 2020 13:39:23.477406367 AEST","-64"
"181","Jun 24, 2020 13:39:23.579671710 AEST","-58"
"182","Jun 24, 2020 13:39:23.682670869 AEST","-64"
"183","Jun 24, 2020 13:39:23.886726702 AEST","-64"
"184","Jun 24, 2020 13:39:23.989043241 AEST","-68"
"185","Jun 24, 2020 13:39:24.092491837 AEST","-64"
"186","Jun 24, 2020 13:39:24.195005420 AEST","-60"
"187","Jun 24, 2020 13:39:24.398584310 AEST","-58"
"188","Jun 24, 2020 13:39:24.500978692 AEST","-58"
"189","Jun 24, 2020 13:39:24.603625867 AEST","-60"
"190","Jun 24, 2020 13:39:24.809362545 AEST","-60"
"191","Jun 24, 2020 13:39:25.012976839 AEST","-60"
"192","Jun 24, 2020 13:39:25.116491896 AEST","-60"
"193","Jun 24, 2020 13:39:25.217737256 AEST","-60"
"194","Jun 24, 2020 13:39:25.423722349 AEST","-64"
"195","Jun 24, 2020 13:39:25.524946855 AEST","-58"
"196","Jun 24, 2020 13:39:25.627871998 AEST","-58"
"197","Jun 24, 2020 13:39:25.729801919 AEST","-64"
"198","Jun 24, 2020 13:39:25.767315544 AEST","-64"
"199","Jun 24, 2020 13:39:25.769172620 AEST","-64"
"200","Jun 24, 2020 13:39:25.773017382 AEST","-64"
"201","Jun 24, 2020 13:39:25.776604062 AEST","-64"
"202","Jun 24, 2020 13:39:25.784691790 AEST","-64"
"203","Jun 24, 2020 13:39:25.787194857 AEST","-64"
"204","Jun 24, 2020 13:39:25.791751809 AEST","-64"
"205","Jun 24, 2020 13:39:25.793464446 AEST","-64"
"206","Jun 24, 2020 13:39:25.800088295 AEST","-64"
"207","Jun 24, 2020 13:39:25.805424327 AEST","-60"
"208","Jun 24, 2020 13:39:25.809248715 AEST","-64"
"209","Jun 24, 2020 13:39:25.934700682 AEST","-64"
"210","Jun 24, 2020 13:39:26.139457484 AEST","-64"
"211","Jun 24, 2020 13:39:26.446508295 AEST","-64"
"212","Jun 24, 2020 13:39:26.549187180 AEST","-64"
"213","Jun 24, 2020 13:39:26.651465897 AEST","-64"
"214","Jun 24, 2020 13:39:26.753831867 AEST","-64"
"215","Jun 24, 2020 13:39:26.856927287 AEST","-64"
"216","Jun 24, 2020 13:39:26.959082989 AEST","-64"
"217","Jun 24, 2020 13:39:27.060926773 AEST","-64"
"218","Jun 24, 2020 13:39:27.164483930 AEST","-64"
"219","Jun 24, 2020 13:39:27.265779249 AEST","-64"
"220","Jun 24, 2020 13:39:27.572921023 AEST","-64"
"221","Jun 24, 2020 13:39:27.778213908 AEST","-64"
"222","Jun 24, 2020 13:39:27.881269656 AEST","-62"
"223","Jun 24, 2020 13:39:27.982880723 AEST","-64"
"224","Jun 24, 2020 13:39:28.084904842 AEST","-64"
"225","Jun 24, 2020 13:39:28.392073835 AEST","-64"
"226","Jun 24, 2020 13:39:28.596900977 AEST","-64"
"227","Jun 24, 2020 13:39:28.699461541 AEST","-64"
"228","Jun 24, 2020 13:39:28.801833593 AEST","-64"
"229","Jun 24, 2020 13:39:28.904388898 AEST","-64"
"230","Jun 24, 2020 13:39:29.007701508 AEST","-64"
"231","Jun 24, 2020 13:39:29.108858341 AEST","-64"
"232","Jun 24, 2020 13:39:29.212715885 AEST","-60"
"233","Jun 24, 2020 13:39:29.314857140 AEST","-60"
"234","Jun 24, 2020 13:39:29.519670770 AEST","-64"
"235","Jun 24, 2020 13:39:29.620861277 AEST","-64"
"236","Jun 24, 2020 13:39:29.726437071 AEST","-64"
"237","Jun 24, 2020 13:39:29.825820371 AEST","-64"
"238","Jun 24, 2020 13:39:29.928151676 AEST","-64"
"239","Jun 24, 2020 13:39:30.031206233 AEST","-64"
"240","Jun 24, 2020 13:39:30.132863698 AEST","-64"
"241","Jun 24, 2020 13:39:30.235500509 AEST","-64"
"242","Jun 24, 2020 13:39:30.338856519 AEST","-64"
"243","Jun 24, 2020 13:39:30.542466009 AEST","-64"
"244","Jun 24, 2020 13:39:30.644851612 AEST","-64"
"245","Jun 24, 2020 13:39:30.747454432 AEST","-64"
"246","Jun 24, 2020 13:39:30.849646952 AEST","-64"
"247","Jun 24, 2020 13:39:30.953249272 AEST","-62"
"248","Jun 24, 2020 13:39:31.055666952 AEST","-64"
"249","Jun 24, 2020 13:39:31.156881570 AEST","-60"
"250","Jun 24, 2020 13:39:31.259313296 AEST","-64"
"251","Jun 24, 2020 13:39:31.361691294 AEST","-60"
"252","Jun 24, 2020 13:39:31.464244544 AEST","-64"
"253","Jun 24, 2020 13:39:31.670973798 AEST","-64"
"254","Jun 24, 2020 13:39:31.773475290 AEST","-64"
"255","Jun 24, 2020 13:39:31.979253822 AEST","-64"
"256","Jun 24, 2020 13:39:32.180913681 AEST","-64"
"257","Jun 24, 2020 13:39:32.283699082 AEST","-64"
"258","Jun 24, 2020 13:39:32.385866235 AEST","-64"
"259","Jun 24, 2020 13:39:32.488443170 AEST","-72"
"260","Jun 24, 2020 13:39:32.692888152 AEST","-60"
"261","Jun 24, 2020 13:39:32.795303468 AEST","-64"
"262","Jun 24, 2020 13:39:32.897795652 AEST","-64"
"263","Jun 24, 2020 13:39:33.001230317 AEST","-64"
"264","Jun 24, 2020 13:39:33.103606472 AEST","-64"
"265","Jun 24, 2020 13:39:33.204926024 AEST","-64"
"266","Jun 24, 2020 13:39:33.614662589 AEST","-64"
"267","Jun 24, 2020 13:39:33.716903443 AEST","-64"
"268","Jun 24, 2020 13:39:33.819258205 AEST","-66"
"269","Jun 24, 2020 13:39:33.922828460 AEST","-68"
"270","Jun 24, 2020 13:39:34.024255276 AEST","-64"
"271","Jun 24, 2020 13:39:34.127604789 AEST","-64"
"272","Jun 24, 2020 13:39:34.433800993 AEST","-68"
"273","Jun 24, 2020 13:39:34.536672963 AEST","-64"
"274","Jun 24, 2020 13:39:34.638920421 AEST","-64"
"275","Jun 24, 2020 13:39:34.741025406 AEST","-64"
"276","Jun 24, 2020 13:39:34.945855571 AEST","-64"
"277","Jun 24, 2020 13:39:35.049205859 AEST","-64"
"278","Jun 24, 2020 13:39:35.151697204 AEST","-64"
"279","Jun 24, 2020 13:39:35.252877891 AEST","-64"
"280","Jun 24, 2020 13:39:35.458913957 AEST","-64"
"281","Jun 24, 2020 13:39:35.560084934 AEST","-64"
"282","Jun 24, 2020 13:39:35.662587443 AEST","-64"
"283","Jun 24, 2020 13:39:35.764968520 AEST","-64"
"284","Jun 24, 2020 13:39:35.969832444 AEST","-66"
"285","Jun 24, 2020 13:39:36.072048040 AEST","-64"
"286","Jun 24, 2020 13:39:36.174449856 AEST","-64"
"287","Jun 24, 2020 13:39:36.276935890 AEST","-64"
"288","Jun 24, 2020 13:39:36.482062221 AEST","-64"
"289","Jun 24, 2020 13:39:36.584834612 AEST","-64"
"290","Jun 24, 2020 13:39:36.687131315 AEST","-64"
"291","Jun 24, 2020 13:39:36.789420540 AEST","-64"
"292","Jun 24, 2020 13:39:36.993595256 AEST","-64"
"293","Jun 24, 2020 13:39:37.097171205 AEST","-66"
"294","Jun 24, 2020 13:39:37.403185700 AEST","-64"
"295","Jun 24, 2020 13:39:37.505625882 AEST","-64"
"296","Jun 24, 2020 13:39:37.608319218 AEST","-68"
"297","Jun 24, 2020 13:39:37.710781198 AEST","-68"
"298","Jun 24, 2020 13:39:37.915428152 AEST","-68"
"299","Jun 24, 2020 13:39:38.019161556 AEST","-68"
"300","Jun 24, 2020 13:39:38.120214325 AEST","-68"
"301","Jun 24, 2020 13:39:38.324993925 AEST","-64"
"302","Jun 24, 2020 13:39:38.427202038 AEST","-64"
"303","Jun 24, 2020 13:39:38.633033700 AEST","-64"
"304","Jun 24, 2020 13:39:38.734674356 AEST","-64"
"305","Jun 24, 2020 13:39:38.836944535 AEST","-64"
"306","Jun 24, 2020 13:39:38.939209117 AEST","-64"
"307","Jun 24, 2020 13:39:39.246505750 AEST","-64"
"308","Jun 24, 2020 13:39:39.349095164 AEST","-64"
"309","Jun 24, 2020 13:39:39.451154319 AEST","-64"
"310","Jun 24, 2020 13:39:39.553712864 AEST","-64"
"311","Jun 24, 2020 13:39:39.656641528 AEST","-64"
"312","Jun 24, 2020 13:39:39.860842367 AEST","-64"
"313","Jun 24, 2020 13:39:40.167986456 AEST","-68"
"314","Jun 24, 2020 13:39:40.271628573 AEST","-72"
"315","Jun 24, 2020 13:39:40.372968656 AEST","-68"
"316","Jun 24, 2020 13:39:40.475128480 AEST","-72"
"317","Jun 24, 2020 13:39:40.577700372 AEST","-72"
"318","Jun 24, 2020 13:39:40.681145168 AEST","-72"
"319","Jun 24, 2020 13:39:40.783572088 AEST","-72"
"320","Jun 24, 2020 13:39:41.089828929 AEST","-72"
"321","Jun 24, 2020 13:39:41.192154926 AEST","-68"
"322","Jun 24, 2020 13:39:41.295563512 AEST","-72"
"323","Jun 24, 2020 13:39:41.499112615 AEST","-68"
"324","Jun 24, 2020 13:39:41.601724171 AEST","-72"
"325","Jun 24, 2020 13:39:41.704399465 AEST","-68"
"326","Jun 24, 2020 13:39:41.809433003 AEST","-68"
"327","Jun 24, 2020 13:39:41.911509310 AEST","-68"
"328","Jun 24, 2020 13:39:42.011167391 AEST","-68"
"329","Jun 24, 2020 13:39:42.113524192 AEST","-72"
"330","Jun 24, 2020 13:39:42.215954445 AEST","-68"
"331","Jun 24, 2020 13:39:42.523135287 AEST","-68"
"332","Jun 24, 2020 13:39:42.625583936 AEST","-68"
"333","Jun 24, 2020 13:39:42.728778468 AEST","-68"
"334","Jun 24, 2020 13:39:42.831642536 AEST","-68"
"335","Jun 24, 2020 13:39:42.932749870 AEST","-68"
"336","Jun 24, 2020 13:39:43.035165333 AEST","-68"
"337","Jun 24, 2020 13:39:43.342515529 AEST","-68"
"338","Jun 24, 2020 13:39:43.445402878 AEST","-66"
"339","Jun 24, 2020 13:39:43.461751763 AEST","-66"
"340","Jun 24, 2020 13:39:43.489772366 AEST","-68"
"341","Jun 24, 2020 13:39:43.508137165 AEST","-66"
"342","Jun 24, 2020 13:39:43.511844016 AEST","-68"
"343","Jun 24, 2020 13:39:43.513657804 AEST","-68"
"344","Jun 24, 2020 13:39:43.517314645 AEST","-68"
"345","Jun 24, 2020 13:39:43.520107687 AEST","-68"
"346","Jun 24, 2020 13:39:43.525465490 AEST","-66"
"347","Jun 24, 2020 13:39:43.528766964 AEST","-66"
"348","Jun 24, 2020 13:39:43.547166365 AEST","-64"
"349","Jun 24, 2020 13:39:43.649607848 AEST","-66"
"350","Jun 24, 2020 13:39:43.753047362 AEST","-68"
"351","Jun 24, 2020 13:39:43.854566650 AEST","-68"
"352","Jun 24, 2020 13:39:43.956745782 AEST","-68"
"353","Jun 24, 2020 13:39:44.059376077 AEST","-68"
"354","Jun 24, 2020 13:39:44.161586232 AEST","-68"
"355","Jun 24, 2020 13:39:44.367489028 AEST","-68"
"356","Jun 24, 2020 13:39:44.469373495 AEST","-66"
"357","Jun 24, 2020 13:39:44.571133471 AEST","-68"
"358","Jun 24, 2020 13:39:44.878410266 AEST","-68"
"359","Jun 24, 2020 13:39:44.980778233 AEST","-64"
"360","Jun 24, 2020 13:39:45.083129787 AEST","-64"
"361","Jun 24, 2020 13:39:45.185548724 AEST","-64"
"362","Jun 24, 2020 13:39:45.288153851 AEST","-64"
"363","Jun 24, 2020 13:39:45.390363167 AEST","-64"
"364","Jun 24, 2020 13:39:45.492990067 AEST","-60"
"365","Jun 24, 2020 13:39:45.595860452 AEST","-62"
"366","Jun 24, 2020 13:39:45.699524250 AEST","-60"
"367","Jun 24, 2020 13:39:45.801086008 AEST","-64"
"368","Jun 24, 2020 13:39:46.004807470 AEST","-64"
"369","Jun 24, 2020 13:39:46.076479889 AEST","-64"
