"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Info"
"363","3.927456952","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-49dBm","Beacon frame, SN=2077, FN=0, Flags=........C, BI=100, SSID=z5206677"
"367","4.029808218","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-44dBm","Beacon frame, SN=2078, FN=0, Flags=........C, BI=100, SSID=z5206677"
"381","4.132183918","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-52dBm","Beacon frame, SN=2079, FN=0, Flags=........C, BI=100, SSID=z5206677"
"385","4.234831612","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-58dBm","Beacon frame, SN=2080, FN=0, Flags=........C, BI=100, SSID=z5206677"
"392","4.337648723","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-51dBm","Beacon frame, SN=2082, FN=0, Flags=........C, BI=100, SSID=z5206677"
"420","4.439561482","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-46dBm","Beacon frame, SN=2084, FN=0, Flags=........C, BI=100, SSID=z5206677"
"424","4.542017658","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-57dBm","Beacon frame, SN=2085, FN=0, Flags=........C, BI=100, SSID=z5206677"
"428","4.644407738","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-54dBm","Beacon frame, SN=2086, FN=0, Flags=........C, BI=100, SSID=z5206677"
"435","4.746720344","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-50dBm","Beacon frame, SN=2087, FN=0, Flags=........C, BI=100, SSID=z5206677"
"445","4.849112519","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-50dBm","Beacon frame, SN=2088, FN=0, Flags=........C, BI=100, SSID=z5206677"
"449","4.951495239","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-57dBm","Beacon frame, SN=2089, FN=0, Flags=........C, BI=100, SSID=z5206677"
"454","5.053920877","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-44dBm","Beacon frame, SN=2090, FN=0, Flags=........C, BI=100, SSID=z5206677"
"468","5.156240839","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-48dBm","Beacon frame, SN=2091, FN=0, Flags=........C, BI=100, SSID=z5206677"
"472","5.258791514","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-58dBm","Beacon frame, SN=2092, FN=0, Flags=........C, BI=100, SSID=z5206677"
"478","5.361211225","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-61dBm","Beacon frame, SN=2093, FN=0, Flags=........C, BI=100, SSID=z5206677"
"485","5.463413326","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-46dBm","Beacon frame, SN=2094, FN=0, Flags=........C, BI=100, SSID=z5206677"
"489","5.565907414","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-57dBm","Beacon frame, SN=2095, FN=0, Flags=........C, BI=100, SSID=z5206677"
"493","5.668416922","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-63dBm","Beacon frame, SN=2096, FN=0, Flags=........C, BI=100, SSID=z5206677"
"497","5.770814437","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-53dBm","Beacon frame, SN=2097, FN=0, Flags=........C, BI=100, SSID=z5206677"
"501","5.873059254","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-48dBm","Beacon frame, SN=2098, FN=0, Flags=........C, BI=100, SSID=z5206677"
"505","5.975527730","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-45dBm","Beacon frame, SN=2099, FN=0, Flags=........C, BI=100, SSID=z5206677"
"509","6.077851151","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-54dBm","Beacon frame, SN=2100, FN=0, Flags=........C, BI=100, SSID=z5206677"
"521","6.180280618","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-55dBm","Beacon frame, SN=2101, FN=0, Flags=........C, BI=100, SSID=z5206677"
"542","6.692387345","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-60dBm","Beacon frame, SN=2102, FN=0, Flags=........C, BI=100, SSID=z5206677"
"580","6.999409093","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-54dBm","Beacon frame, SN=2103, FN=0, Flags=........C, BI=100, SSID=z5206677"
"587","7.102016477","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-69dBm","Beacon frame, SN=2104, FN=0, Flags=........C, BI=100, SSID=z5206677"
"597","7.204271556","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-55dBm","Beacon frame, SN=2105, FN=0, Flags=........C, BI=100, SSID=z5206677"
"601","7.306838676","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-69dBm","Beacon frame, SN=2106, FN=0, Flags=........C, BI=100, SSID=z5206677"
"605","7.409135838","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-54dBm","Beacon frame, SN=2107, FN=0, Flags=........C, BI=100, SSID=z5206677"
"611","7.511402758","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-49dBm","Beacon frame, SN=2108, FN=0, Flags=........C, BI=100, SSID=z5206677"
"615","7.613985474","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-61dBm","Beacon frame, SN=2109, FN=0, Flags=........C, BI=100, SSID=z5206677"
"619","7.716404806","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-52dBm","Beacon frame, SN=2110, FN=0, Flags=........C, BI=100, SSID=z5206677"
"641","7.820469262","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-56dBm","Beacon frame, SN=2113, FN=0, Flags=........C, BI=100, SSID=z5206677"
"649","7.921049747","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-58dBm","Beacon frame, SN=2114, FN=0, Flags=........C, BI=100, SSID=z5206677"
"653","8.023427001","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-58dBm","Beacon frame, SN=2115, FN=0, Flags=........C, BI=100, SSID=z5206677"
"669","8.125885444","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-62dBm","Beacon frame, SN=2116, FN=0, Flags=........C, BI=100, SSID=z5206677"
"673","8.228214983","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-56dBm","Beacon frame, SN=2117, FN=0, Flags=........C, BI=100, SSID=z5206677"
"677","8.330634962","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-56dBm","Beacon frame, SN=2118, FN=0, Flags=........C, BI=100, SSID=z5206677"
"683","8.432996152","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-59dBm","Beacon frame, SN=2119, FN=0, Flags=........C, BI=100, SSID=z5206677"
"689","8.535382148","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-55dBm","Beacon frame, SN=2120, FN=0, Flags=........C, BI=100, SSID=z5206677"
"693","8.638014235","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-54dBm","Beacon frame, SN=2121, FN=0, Flags=........C, BI=100, SSID=z5206677"
"697","8.740274920","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-50dBm","Beacon frame, SN=2122, FN=0, Flags=........C, BI=100, SSID=z5206677"
"707","8.842721242","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-52dBm","Beacon frame, SN=2123, FN=0, Flags=........C, BI=100, SSID=z5206677"
"711","8.945010187","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-52dBm","Beacon frame, SN=2124, FN=0, Flags=........C, BI=100, SSID=z5206677"
"716","9.047425901","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-57dBm","Beacon frame, SN=2125, FN=0, Flags=........C, BI=100, SSID=z5206677"
"726","9.149966774","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-58dBm","Beacon frame, SN=2126, FN=0, Flags=........C, BI=100, SSID=z5206677"
"730","9.252376902","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-63dBm","Beacon frame, SN=2127, FN=0, Flags=........C, BI=100, SSID=z5206677"
"734","9.354805927","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-65dBm","Beacon frame, SN=2128, FN=0, Flags=........C, BI=100, SSID=z5206677"
"743","9.457161227","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-56dBm","Beacon frame, SN=2129, FN=0, Flags=........C, BI=100, SSID=z5206677"
"747","9.559418484","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-55dBm","Beacon frame, SN=2130, FN=0, Flags=........C, BI=100, SSID=z5206677"
"751","9.661922193","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-67dBm","Beacon frame, SN=2131, FN=0, Flags=........C, BI=100, SSID=z5206677"
"755","9.764357933","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-74dBm","Beacon frame, SN=2132, FN=0, Flags=........C, BI=100, SSID=z5206677"
"759","9.866780176","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-61dBm","Beacon frame, SN=2133, FN=0, Flags=........C, BI=100, SSID=z5206677"
"763","9.969186649","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-70dBm","Beacon frame, SN=2134, FN=0, Flags=........C, BI=100, SSID=z5206677"
"767","10.071429702","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-58dBm","Beacon frame, SN=2135, FN=0, Flags=........C, BI=100, SSID=z5206677"
"777","10.173785743","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-74dBm","Beacon frame, SN=2136, FN=0, Flags=........C, BI=100, SSID=z5206677"
"781","10.276296937","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-81dBm","Beacon frame, SN=2137, FN=0, Flags=........C, BI=100, SSID=z5206677"
"785","10.378682851","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-65dBm","Beacon frame, SN=2138, FN=0, Flags=........C, BI=100, SSID=z5206677"
"790","10.481193415","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-73dBm","Beacon frame, SN=2139, FN=0, Flags=........C, BI=100, SSID=z5206677"
"794","10.583517296","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-65dBm","Beacon frame, SN=2140, FN=0, Flags=........C, BI=100, SSID=z5206677"
"798","10.685793324","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-59dBm","Beacon frame, SN=2141, FN=0, Flags=........C, BI=100, SSID=z5206677"
"802","10.788372508","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-62dBm","Beacon frame, SN=2142, FN=0, Flags=........C, BI=100, SSID=z5206677"
"813","10.890701531","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-57dBm","Beacon frame, SN=2143, FN=0, Flags=........C, BI=100, SSID=z5206677"
"817","10.992986131","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-60dBm","Beacon frame, SN=2144, FN=0, Flags=........C, BI=100, SSID=z5206677"
"822","11.095586148","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-61dBm","Beacon frame, SN=2145, FN=0, Flags=........C, BI=100, SSID=z5206677"
"844","11.198785847","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-61dBm","Beacon frame, SN=2148, FN=0, Flags=........C, BI=100, SSID=z5206677"
"853","11.300375878","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-62dBm","Beacon frame, SN=2149, FN=0, Flags=........C, BI=100, SSID=z5206677"
"858","11.402690077","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-63dBm","Beacon frame, SN=2150, FN=0, Flags=........C, BI=100, SSID=z5206677"
"869","11.504999281","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-64dBm","Beacon frame, SN=2151, FN=0, Flags=........C, BI=100, SSID=z5206677"
"873","11.607471866","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-70dBm","Beacon frame, SN=2152, FN=0, Flags=........C, BI=100, SSID=z5206677"
"877","11.709761302","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-72dBm","Beacon frame, SN=2153, FN=0, Flags=........C, BI=100, SSID=z5206677"
"883","11.812373355","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-71dBm","Beacon frame, SN=2154, FN=0, Flags=........C, BI=100, SSID=z5206677"
"887","11.914806257","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-64dBm","Beacon frame, SN=2155, FN=0, Flags=........C, BI=100, SSID=z5206677"
"893","12.017170022","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-65dBm","Beacon frame, SN=2156, FN=0, Flags=........C, BI=100, SSID=z5206677"
"897","12.119565320","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-67dBm","Beacon frame, SN=2157, FN=0, Flags=........C, BI=100, SSID=z5206677"
"907","12.221771523","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-71dBm","Beacon frame, SN=2158, FN=0, Flags=........C, BI=100, SSID=z5206677"
"911","12.324376497","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-67dBm","Beacon frame, SN=2159, FN=0, Flags=........C, BI=100, SSID=z5206677"
"915","12.426628058","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-65dBm","Beacon frame, SN=2160, FN=0, Flags=........C, BI=100, SSID=z5206677"
"921","12.529017164","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-80dBm","Beacon frame, SN=2161, FN=0, Flags=........C, BI=100, SSID=z5206677"
"925","12.631581041","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-76dBm","Beacon frame, SN=2162, FN=0, Flags=........C, BI=100, SSID=z5206677"
"945","12.734819406","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-69dBm","Beacon frame, SN=2165, FN=0, Flags=........C, BI=100, SSID=z5206677"
"956","12.836378337","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-84dBm","Beacon frame, SN=2166, FN=0, Flags=........C, BI=100, SSID=z5206677"
"960","12.938585656","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-73dBm","Beacon frame, SN=2167, FN=0, Flags=........C, BI=100, SSID=z5206677"
"966","13.040996225","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-70dBm","Beacon frame, SN=2168, FN=0, Flags=........C, BI=100, SSID=z5206677"
"974","13.143570725","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-83dBm","Beacon frame, SN=2169, FN=0, Flags=........C, BI=100, SSID=z5206677"
"995","13.553157233","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-74dBm","Beacon frame, SN=2173, FN=0, Flags=........C, BI=100, SSID=z5206677"
"999","13.655553087","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-75dBm","Beacon frame, SN=2174, FN=0, Flags=........C, BI=100, SSID=z5206677"
"1003","13.757781126","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-76dBm","Beacon frame, SN=2175, FN=0, Flags=........C, BI=100, SSID=z5206677"
"1011","13.860365695","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-77dBm","Beacon frame, SN=2176, FN=0, Flags=........C, BI=100, SSID=z5206677"
"1042","14.474691688","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-83dBm","Beacon frame, SN=2182, FN=0, Flags=........C, BI=100, SSID=z5206677"
"1049","14.679534581","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-83dBm","Beacon frame, SN=2184, FN=0, Flags=........C, BI=100, SSID=z5206677"
"1059","14.781787076","0a:c5:e1:a7:65:73","Broadcast","802.11","350","-79dBm","Beacon frame, SN=2185, FN=0, Flags=........C, BI=100, SSID=z5206677"
