frame.number,frame.time,wlan_radio.signal_dbm
"1","Jun 24, 2020 13:55:55.359551799 AEST","-64"
"2","Jun 24, 2020 13:55:55.462552566 AEST","-60"
"3","Jun 24, 2020 13:55:55.565458982 AEST","-68"
"4","Jun 24, 2020 13:55:55.666718853 AEST","-60"
"5","Jun 24, 2020 13:55:55.771118004 AEST","-60"
"6","Jun 24, 2020 13:55:55.871561234 AEST","-72"
"7","Jun 24, 2020 13:55:55.973990874 AEST","-60"
"8","Jun 24, 2020 13:55:56.076325864 AEST","-60"
"9","Jun 24, 2020 13:55:56.178752930 AEST","-72"
"10","Jun 24, 2020 13:55:56.281371808 AEST","-74"
"11","Jun 24, 2020 13:55:56.384709133 AEST","-68"
"12","Jun 24, 2020 13:55:56.485900298 AEST","-64"
"13","Jun 24, 2020 13:55:56.588353986 AEST","-66"
"14","Jun 24, 2020 13:55:56.690733375 AEST","-64"
"15","Jun 24, 2020 13:55:56.793367146 AEST","-72"
"16","Jun 24, 2020 13:55:56.896688296 AEST","-72"
"17","Jun 24, 2020 13:55:56.999081866 AEST","-68"
"18","Jun 24, 2020 13:55:57.100347059 AEST","-72"
"19","Jun 24, 2020 13:55:57.203279790 AEST","-64"
"20","Jun 24, 2020 13:55:57.305242932 AEST","-64"
"21","Jun 24, 2020 13:55:57.407578036 AEST","-64"
"22","Jun 24, 2020 13:55:57.511118822 AEST","-68"
"23","Jun 24, 2020 13:55:57.612336606 AEST","-68"
"24","Jun 24, 2020 13:55:57.714735837 AEST","-64"
"25","Jun 24, 2020 13:55:57.817337760 AEST","-60"
"26","Jun 24, 2020 13:55:58.022125785 AEST","-72"
"27","Jun 24, 2020 13:55:58.124278231 AEST","-72"
"28","Jun 24, 2020 13:55:58.226744198 AEST","-72"
"29","Jun 24, 2020 13:55:58.329388289 AEST","-72"
"30","Jun 24, 2020 13:55:58.432719446 AEST","-74"
"31","Jun 24, 2020 13:55:58.535091127 AEST","-74"
"32","Jun 24, 2020 13:55:58.636341313 AEST","-72"
"33","Jun 24, 2020 13:55:58.738749978 AEST","-70"
"34","Jun 24, 2020 13:55:58.841380777 AEST","-68"
"35","Jun 24, 2020 13:55:58.944683851 AEST","-68"
"36","Jun 24, 2020 13:55:59.047086050 AEST","-68"
"37","Jun 24, 2020 13:55:59.148331638 AEST","-72"
"38","Jun 24, 2020 13:55:59.250837756 AEST","-72"
"39","Jun 24, 2020 13:55:59.353167421 AEST","-68"
"40","Jun 24, 2020 13:55:59.455498922 AEST","-72"
"41","Jun 24, 2020 13:55:59.557910710 AEST","-68"
"42","Jun 24, 2020 13:55:59.660333966 AEST","-68"
"43","Jun 24, 2020 13:55:59.762841136 AEST","-68"
"44","Jun 24, 2020 13:55:59.865141547 AEST","-64"
"45","Jun 24, 2020 13:55:59.967694423 AEST","-64"
"46","Jun 24, 2020 13:56:00.070099845 AEST","-64"
"47","Jun 24, 2020 13:56:00.172339590 AEST","-64"
"48","Jun 24, 2020 13:56:00.274908826 AEST","-72"
"49","Jun 24, 2020 13:56:00.377401451 AEST","-64"
"50","Jun 24, 2020 13:56:00.480696680 AEST","-66"
"51","Jun 24, 2020 13:56:00.583102489 AEST","-74"
"52","Jun 24, 2020 13:56:00.684370215 AEST","-72"
"53","Jun 24, 2020 13:56:00.786736059 AEST","-72"
"54","Jun 24, 2020 13:56:00.889165072 AEST","-60"
"55","Jun 24, 2020 13:56:00.992668579 AEST","-64"
"56","Jun 24, 2020 13:56:01.095767714 AEST","-68"
"57","Jun 24, 2020 13:56:01.197468875 AEST","-68"
"58","Jun 24, 2020 13:56:01.298931234 AEST","-72"
"59","Jun 24, 2020 13:56:01.402201093 AEST","-68"
"60","Jun 24, 2020 13:56:01.503486147 AEST","-64"
"61","Jun 24, 2020 13:56:01.606877731 AEST","-64"
"62","Jun 24, 2020 13:56:01.708314274 AEST","-68"
"63","Jun 24, 2020 13:56:01.810717253 AEST","-72"
"64","Jun 24, 2020 13:56:01.913272648 AEST","-64"
"65","Jun 24, 2020 13:56:02.015961806 AEST","-64"
"66","Jun 24, 2020 13:56:02.118085499 AEST","-64"
"67","Jun 24, 2020 13:56:02.220342802 AEST","-68"
"68","Jun 24, 2020 13:56:02.322670575 AEST","-64"
"69","Jun 24, 2020 13:56:02.425101783 AEST","-64"
"70","Jun 24, 2020 13:56:02.527479364 AEST","-64"
"71","Jun 24, 2020 13:56:02.632173856 AEST","-64"
"72","Jun 24, 2020 13:56:02.739332895 AEST","-64"
"73","Jun 24, 2020 13:56:02.836262908 AEST","-64"
"74","Jun 24, 2020 13:56:03.042662494 AEST","-64"
"75","Jun 24, 2020 13:56:03.147318783 AEST","-66"
"76","Jun 24, 2020 13:56:03.244504970 AEST","-68"
"77","Jun 24, 2020 13:56:03.346649962 AEST","-68"
"78","Jun 24, 2020 13:56:03.449129162 AEST","-72"
"79","Jun 24, 2020 13:56:03.551481617 AEST","-68"
"80","Jun 24, 2020 13:56:03.655041751 AEST","-64"
"81","Jun 24, 2020 13:56:03.756503571 AEST","-66"
"82","Jun 24, 2020 13:56:03.858684360 AEST","-68"
"83","Jun 24, 2020 13:56:03.961149420 AEST","-66"
"84","Jun 24, 2020 13:56:04.064334306 AEST","-68"
"85","Jun 24, 2020 13:56:04.165991163 AEST","-68"
"86","Jun 24, 2020 13:56:04.268323110 AEST","-68"
"87","Jun 24, 2020 13:56:04.370693657 AEST","-64"
"88","Jun 24, 2020 13:56:04.473252702 AEST","-68"
"89","Jun 24, 2020 13:56:04.576630800 AEST","-68"
"90","Jun 24, 2020 13:56:04.678071173 AEST","-72"
"91","Jun 24, 2020 13:56:04.780413342 AEST","-72"
"92","Jun 24, 2020 13:56:04.882673479 AEST","-72"
"93","Jun 24, 2020 13:56:04.985390061 AEST","-72"
"94","Jun 24, 2020 13:56:05.088645377 AEST","-72"
"95","Jun 24, 2020 13:56:05.191064001 AEST","-68"
"96","Jun 24, 2020 13:56:05.293418586 AEST","-68"
"97","Jun 24, 2020 13:56:05.394684815 AEST","-68"
"98","Jun 24, 2020 13:56:05.497224236 AEST","-68"
"99","Jun 24, 2020 13:56:05.599485956 AEST","-72"
"100","Jun 24, 2020 13:56:05.702282595 AEST","-72"
"101","Jun 24, 2020 13:56:05.804749425 AEST","-72"
"102","Jun 24, 2020 13:56:05.906626442 AEST","-74"
"103","Jun 24, 2020 13:56:06.009079416 AEST","-64"
"104","Jun 24, 2020 13:56:06.111476227 AEST","-64"
"105","Jun 24, 2020 13:56:06.213908921 AEST","-68"
"106","Jun 24, 2020 13:56:06.316301548 AEST","-64"
"107","Jun 24, 2020 13:56:06.418680572 AEST","-60"
"108","Jun 24, 2020 13:56:06.522206566 AEST","-60"
"109","Jun 24, 2020 13:56:06.624626356 AEST","-60"
"110","Jun 24, 2020 13:56:06.726312553 AEST","-64"
"111","Jun 24, 2020 13:56:06.828373161 AEST","-64"
"112","Jun 24, 2020 13:56:06.930678440 AEST","-64"
"113","Jun 24, 2020 13:56:07.136619372 AEST","-64"
"114","Jun 24, 2020 13:56:07.237935991 AEST","-72"
"115","Jun 24, 2020 13:56:07.340271209 AEST","-68"
"116","Jun 24, 2020 13:56:07.442641161 AEST","-64"
"117","Jun 24, 2020 13:56:07.545263571 AEST","-66"
"118","Jun 24, 2020 13:56:07.647643409 AEST","-64"
"119","Jun 24, 2020 13:56:07.749966702 AEST","-64"
"120","Jun 24, 2020 13:56:07.853388510 AEST","-62"
"121","Jun 24, 2020 13:56:07.955840793 AEST","-68"
"122","Jun 24, 2020 13:56:08.058890103 AEST","-58"
"123","Jun 24, 2020 13:56:08.159475925 AEST","-64"
"124","Jun 24, 2020 13:56:08.261885219 AEST","-64"
"125","Jun 24, 2020 13:56:08.364210101 AEST","-64"
"126","Jun 24, 2020 13:56:08.467709872 AEST","-64"
"127","Jun 24, 2020 13:56:08.569061182 AEST","-64"
"128","Jun 24, 2020 13:56:08.672059488 AEST","-64"
"129","Jun 24, 2020 13:56:08.773957157 AEST","-64"
"130","Jun 24, 2020 13:56:08.876389938 AEST","-64"
"131","Jun 24, 2020 13:56:08.978828531 AEST","-64"
