"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Noise level (dBm)","Signal/noise ratio (dB)","Info"
"2642","42.150956","46:b3:2c:81:00:f3","Broadcast","802.11","244","-70dBm","-86dBm","16dB","Beacon frame, SN=2552, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"2645","42.458166","46:b3:2c:81:00:f3","Broadcast","802.11","244","-72dBm","-86dBm","14dB","Beacon frame, SN=2553, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"2648","42.765456","46:b3:2c:81:00:f3","Broadcast","802.11","244","-71dBm","-86dBm","15dB","Beacon frame, SN=2554, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"2684","43.072642","46:b3:2c:81:00:f3","Broadcast","802.11","244","-70dBm","-86dBm","16dB","Beacon frame, SN=2555, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"2705","43.379852","46:b3:2c:81:00:f3","Broadcast","802.11","244","-70dBm","-86dBm","16dB","Beacon frame, SN=2556, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"2706","43.686957","46:b3:2c:81:00:f3","Broadcast","802.11","244","-68dBm","-86dBm","18dB","Beacon frame, SN=2557, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"2709","43.994272","46:b3:2c:81:00:f3","Broadcast","802.11","244","-70dBm","-86dBm","16dB","Beacon frame, SN=2558, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"2890","45.222966","46:b3:2c:81:00:f3","Broadcast","802.11","244","-75dBm","-86dBm","11dB","Beacon frame, SN=2562, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"2936","45.530279","46:b3:2c:81:00:f3","Broadcast","802.11","244","-73dBm","-86dBm","13dB","Beacon frame, SN=2563, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"3019","45.837492","46:b3:2c:81:00:f3","Broadcast","802.11","244","-74dBm","-86dBm","12dB","Beacon frame, SN=2564, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"3120","46.144555","46:b3:2c:81:00:f3","Broadcast","802.11","244","-73dBm","-86dBm","13dB","Beacon frame, SN=2565, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"3178","46.451850","46:b3:2c:81:00:f3","Broadcast","802.11","244","-72dBm","-86dBm","14dB","Beacon frame, SN=2566, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"3275","46.758983","46:b3:2c:81:00:f3","Broadcast","802.11","244","-71dBm","-86dBm","15dB","Beacon frame, SN=2567, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"3370","47.066290","46:b3:2c:81:00:f3","Broadcast","802.11","244","-73dBm","-86dBm","13dB","Beacon frame, SN=2568, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"3510","47.373495","46:b3:2c:81:00:f3","Broadcast","802.11","244","-71dBm","-86dBm","15dB","Beacon frame, SN=2569, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"3626","47.680589","46:b3:2c:81:00:f3","Broadcast","802.11","244","-76dBm","-86dBm","10dB","Beacon frame, SN=2570, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"3748","47.987892","46:b3:2c:81:00:f3","Broadcast","802.11","244","-72dBm","-86dBm","14dB","Beacon frame, SN=2571, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"3872","48.295111","46:b3:2c:81:00:f3","Broadcast","802.11","244","-69dBm","-86dBm","17dB","Beacon frame, SN=2572, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"4016","48.602185","46:b3:2c:81:00:f3","Broadcast","802.11","244","-70dBm","-86dBm","16dB","Beacon frame, SN=2573, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"4052","48.909550","46:b3:2c:81:00:f3","Broadcast","802.11","244","-73dBm","-86dBm","13dB","Beacon frame, SN=2574, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"4095","49.216609","46:b3:2c:81:00:f3","Broadcast","802.11","244","-71dBm","-86dBm","15dB","Beacon frame, SN=2575, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"4122","49.523809","46:b3:2c:81:00:f3","Broadcast","802.11","244","-75dBm","-86dBm","11dB","Beacon frame, SN=2576, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"4124","49.831124","46:b3:2c:81:00:f3","Broadcast","802.11","244","-68dBm","-86dBm","18dB","Beacon frame, SN=2577, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"4192","50.445519","46:b3:2c:81:00:f3","Broadcast","802.11","244","-66dBm","-86dBm","20dB","Beacon frame, SN=2579, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"4253","51.981404","46:b3:2c:81:00:f3","Broadcast","802.11","244","-62dBm","-82dBm","20dB","Beacon frame, SN=2584, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"4279","52.288620","46:b3:2c:81:00:f3","Broadcast","802.11","244","-66dBm","-82dBm","16dB","Beacon frame, SN=2585, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"4285","52.595948","46:b3:2c:81:00:f3","Broadcast","802.11","244","-66dBm","-82dBm","16dB","Beacon frame, SN=2586, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"4290","52.903156","46:b3:2c:81:00:f3","Broadcast","802.11","244","-61dBm","-82dBm","21dB","Beacon frame, SN=2587, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"4299","54.212826","46:b3:2c:81:00:f3","Apple_22:3f:cb","802.11","238","-56dBm","-82dBm","26dB","Probe Response, SN=2592, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"4302","54.223016","46:b3:2c:81:00:f3","Apple_22:3f:cb","802.11","238","-56dBm","-82dBm","26dB","Probe Response, SN=2593, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"4304","54.439123","46:b3:2c:81:00:f3","Broadcast","802.11","244","-53dBm","-82dBm","29dB","Beacon frame, SN=2594, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"4327","54.746275","46:b3:2c:81:00:f3","Broadcast","802.11","244","-61dBm","-82dBm","21dB","Beacon frame, SN=2595, FN=0, Flags=........C, BI=300, SSID=COMP4336"
