"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Noise level (dBm)","Signal/noise ratio (dB)","Info"
"4791","75.636183","46:b3:2c:81:00:f3","Broadcast","802.11","244","-54dBm","-87dBm","33dB","Beacon frame, SN=2665, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"4995","77.479424","46:b3:2c:81:00:f3","Broadcast","802.11","244","-56dBm","-85dBm","29dB","Beacon frame, SN=2671, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"4997","77.786489","46:b3:2c:81:00:f3","Broadcast","802.11","244","-56dBm","-85dBm","29dB","Beacon frame, SN=2672, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"5107","78.093784","46:b3:2c:81:00:f3","Broadcast","802.11","244","-57dBm","-85dBm","28dB","Beacon frame, SN=2673, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"5123","78.401015","46:b3:2c:81:00:f3","Broadcast","802.11","244","-56dBm","-85dBm","29dB","Beacon frame, SN=2674, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"5261","79.937018","46:b3:2c:81:00:f3","Broadcast","802.11","244","-59dBm","-86dBm","27dB","Beacon frame, SN=2681, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"5263","80.244139","46:b3:2c:81:00:f3","Broadcast","802.11","244","-57dBm","-86dBm","29dB","Beacon frame, SN=2682, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"5278","80.551394","46:b3:2c:81:00:f3","Broadcast","802.11","244","-52dBm","-86dBm","34dB","Beacon frame, SN=2683, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"5280","80.858532","46:b3:2c:81:00:f3","Broadcast","802.11","244","-56dBm","-86dBm","30dB","Beacon frame, SN=2684, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"5389","82.394650","46:b3:2c:81:00:f3","Broadcast","802.11","244","-50dBm","-87dBm","37dB","Beacon frame, SN=2691, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"5398","82.701866","46:b3:2c:81:00:f3","Broadcast","802.11","244","-47dBm","-87dBm","40dB","Beacon frame, SN=2692, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"5399","83.009010","46:b3:2c:81:00:f3","Broadcast","802.11","244","-49dBm","-87dBm","38dB","Beacon frame, SN=2693, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"5490","83.316151","46:b3:2c:81:00:f3","Broadcast","802.11","244","-46dBm","-87dBm","41dB","Beacon frame, SN=2694, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"5537","84.852239","46:b3:2c:81:00:f3","Broadcast","802.11","244","-36dBm","-87dBm","51dB","Beacon frame, SN=2699, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"5560","85.159470","46:b3:2c:81:00:f3","Broadcast","802.11","244","-37dBm","-87dBm","50dB","Beacon frame, SN=2700, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"5566","85.773783","46:b3:2c:81:00:f3","Broadcast","802.11","244","-39dBm","-87dBm","48dB","Beacon frame, SN=2702, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"5606","87.309792","46:b3:2c:81:00:f3","Broadcast","802.11","244","-46dBm","-86dBm","40dB","Beacon frame, SN=2707, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"5634","87.924236","46:b3:2c:81:00:f3","Broadcast","802.11","244","-46dBm","-86dBm","40dB","Beacon frame, SN=2709, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"5652","88.231510","46:b3:2c:81:00:f3","Broadcast","802.11","244","-47dBm","-86dBm","39dB","Beacon frame, SN=2710, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"5682","90.381835","46:b3:2c:81:00:f3","Broadcast","802.11","244","-27dBm","-86dBm","59dB","Beacon frame, SN=2717, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"5696","90.689108","46:b3:2c:81:00:f3","Broadcast","802.11","244","-26dBm","-86dBm","60dB","Beacon frame, SN=2718, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"5699","90.996329","46:b3:2c:81:00:f3","Broadcast","802.11","244","-25dBm","-86dBm","61dB","Beacon frame, SN=2719, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"5709","92.532381","46:b3:2c:81:00:f3","Broadcast","802.11","244","-27dBm","-87dBm","60dB","Beacon frame, SN=2724, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"5713","92.839462","46:b3:2c:81:00:f3","Broadcast","802.11","244","-25dBm","-87dBm","62dB","Beacon frame, SN=2725, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"5714","93.146822","46:b3:2c:81:00:f3","Broadcast","802.11","244","-26dBm","-86dBm","60dB","Beacon frame, SN=2726, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"5716","93.453885","46:b3:2c:81:00:f3","Broadcast","802.11","244","-24dBm","-86dBm","62dB","Beacon frame, SN=2727, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"5750","93.761146","46:b3:2c:81:00:f3","Broadcast","802.11","244","-30dBm","-86dBm","56dB","Beacon frame, SN=2730, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"5764","94.375553","46:b3:2c:81:00:f3","Broadcast","802.11","244","-27dBm","-86dBm","59dB","Beacon frame, SN=2732, FN=0, Flags=........C, BI=300, SSID=COMP4336"
